id,nama,kode_barang
1026,"Bangunan Gedung Laboratorium
Permanen",1.3.3.01.01.05.001
1027,Gedung Pemotong Hewan Permanen,1.3.3.01.01.15.001
1028,Bangunan Gedung Instalasi Permanen,1.3.3.01.01.04.006
1029,Gedung Pertokoan/Koperasi/Pasar Permanen,1.3.3.01.01.12.001
1030,Gedung Pos Jaga Permanen,1.3.3.01.01.13.001
1031,BANGUNAN GEDUNG INSTALASI LAINNYA,1.3.3.01.01.04.009
1032,BANGUNAN PETERNAKAN/PERIKANAN LAINNYA,1.3.3.01.01.29.010
1033,Bangunan Gudang Tertutup Permanen,1.3.3.01.01.02.001
1034,Bangunan Gedung Hiburan/Kesenian Permanen,1.3.3.01.01.09.004
1036,"Bangunan Gedung Tempat Kerja Lainnya
Permanen",1.3.3.01.01.30.001
1037,Bangunan Kandang Hewan/Ternak Permanen,1.3.3.01.01.29.004
1038,"Bangunan Gedung Tempat Kerja Lainnya
Semi Permanen",1.3.3.01.01.30.002
1039,Bangunan Kandang Hewan/Ternak Semi Permanen,1.3.3.01.01.29.005
1040,Gedung Pertokoan/Koperasi/Pasar Semi Permanen,1.3.3.01.01.12.002
1041,"Mess/Wisma/Bungalow/Tempat
Peristirahatan Permanen",1.3.3.01.02.04.001
1042,CANDI/TUGU PERINGATAN/PRASASTI LAINNYA LAINNYA,1.3.3.02.01.04.001
1043,Tugu/Tanda Batas Administrasi Kotamadya,1.3.3.04.01.01.004
1044,Bangunan Gudang Terbuka Permanen,1.3.3.01.01.02.004
1045,BANGUNAN GEDUNG UNTUK BENGKEL/HANGGAR LAINNYA,1.3.3.01.01.03.005
1047,Bangunan Olah Raga Terbuka Semi Permanen,1.3.3.01.01.11.005
1048,"Bangunan Gedung Tempat Ibadah Semi
Permanen",1.3.3.01.01.08.002
1049,Gedung Garasi/Pool Permanen,1.3.3.01.01.14.001
1051,Bangunan Gedung Perpustakaan Permanen,1.3.3.01.01.16.001
1052,Tugu Peringatan Lainnya,1.3.3.02.01.02.005
1053,BANGUNAN MENARA TELEKOMUNIKASI LAINNYA,1.3.3.03.01.03.006
1054,Bangunan Gedung Musium Semi Permanen,1.3.3.01.01.17.002
1055,Bangunan Zona Rokok,1.3.3.01.01.06.012
1057,Rumah Peninggalan Sejarah,1.3.3.02.01.03.003
1058,Makam Bersejarah,1.3.3.02.01.03.004
1061,Bangunan Gedung Pendidikan Permanen,1.3.3.01.01.10.001
1062,Bangunan Bengkel/Hanggar Permanen,1.3.3.01.01.03.001
1063,Bangunan Gedung Instalasi Darurat,1.3.3.01.01.04.008
1064,Gedung Pertokoan/Koperasi/Pasar Darurat,1.3.3.01.01.12.003
1066,Bangunan Pengujian Kelaikan Permanen,1.3.3.01.01.19.001
1069,Bangunan Gedung Musium Permanen,1.3.3.01.01.17.001
1070,Rumah Negara Golongan II Tipe C Permanen,1.3.3.01.02.02.007
1071,Tugu Wisata,1.3.3.02.01.02.003
1072,Bangunan Gedung Pendidikan Darurat,1.3.3.01.01.10.003
1073,Tugu/Tanda Batas Administrasi Kelurahan,1.3.3.04.01.01.008
1074,Gedung Pos Jaga Semi Permanen,1.3.3.01.01.13.002
1075,Tugu Gerbang Kantor / Sekolah,1.3.3.02.01.02.004
1077,Tugu Pembangunan,1.3.3.02.01.02.002
1078,Tugu/Tanda Batas Administrasi Desa,1.3.3.04.01.01.007
1079,Tugu/Tanda Batas Administrasi Kepemilikan,1.3.3.04.01.01.009
1080,Gedung Menara Peninjau Semi Permanen,1.3.3.01.01.13.005
1081,Bangunan Rumah Sakit Umum,1.3.3.01.01.06.001
1082,Rumah Negara Golongan I Tipe B Permanen,1.3.3.01.02.01.004
1083,Rumah Negara Golongan I Tipe B Semi Permanen,1.3.3.01.02.01.005
1084,Rumah Negara Golongan I Tipe A Darurat,1.3.3.01.02.01.003
1085,"Mess/Wisma/Bungalow/Tempat
Peristirahatan Darurat",1.3.3.01.02.04.003
1086,Rumah Negara Golongan II Tipe A Permanen,1.3.3.01.02.02.001
1087,RUMAH NEGARA GOLONGAN III LAINNYA,1.3.3.01.02.03.016
1088,Bangunan Gedung Pertemuan Semi Permanen,1.3.3.01.01.09.002
1089,Bangunan Rumah Sakit Kusta,1.3.3.01.01.06.003
7996,"Bangunan Gudang Terbuka Semi
Permanen",1.3.3.01.01.02.005
8022,Gedung Olah Raga Tertutup Semi Permanen,1.3.3.01.01.11.002
8110,Istana Peninggalan,1.3.3.02.01.03.001
8120,Bangunan Menara Radio,1.3.3.03.01.03.002
8627,Bangunan Tempat Parkir,1.3.3.01.01.32.001
14217,Rumah Panel,1.3.3.01.01.01.004
14218,Bangunan Gedung Lainnya,1.3.3.01.01.01.006
14222,Bangunan Gudang Penyimpanan Limbah Radioaktif Cair,1.3.3.01.01.02.010
14261,Selasar,1.3.3.01.01.25.004
14262,BANGUNAN TERBUKA LAINNYA,1.3.3.01.01.25.005
14275,Bangunan Industri Baja/Besi/Logam,1.3.3.01.01.28.005
14299,Bangunan Kolam/Bak Ikan,1.3.3.01.01.29.002
14316,Bangunan Parkir Tertutup Permanen,1.3.3.01.01.33.004
14317,Bangunan Parkir Tertutup Semi Permanen,1.3.3.01.01.33.005
14322,Taman Permanen,1.3.3.01.01.36.001
14324,TAMAN LAINNYA,1.3.3.01.01.36.003
14342,Rumah Khusus,1.3.3.01.02.12.003
14352,Bangunan Menara Pengawas Permanen,1.3.3.03.01.04.001
14371,PILAR/TUGU/TANDA LAINNYA LAINNYA,1.3.3.04.01.03.004
14372,Pagar Permanen,1.3.3.04.01.04.001
14373,Pagar Semi Permanen,1.3.3.04.01.04.002
14375,PAGAR LAINNYA,1.3.3.04.01.04.004
15520,Bangunan Toilet,1.3.3.01.01.32.006
