id,inventaris_id,polygon,lat,lng,,,,,,,,,,polygon cek gedung,,,,1587E,"{""type"":""Polygon"",""coordinates"":[[[112.170494619,-8.08316542],[112.170197852,-8.083052885],[112.170160768,-8.083038823],[112.170197963,-8.082948608],[112.170550798,-8.083077906],[112.1705165,-8.083173717],[112.170494619,-8.08316542]]]}",-8.083060327,112.1703577
21,23,"{""type"":""Polygon"",""coordinates"":[[[112.16710108,-8.091746967,0],[112.167087567,-8.091753918,0],[112.167075537,-8.091750389,0],[112.166992461,-8.091728923,0],[112.166981503,-8.091719933,0],[112.166977708,-8.091705875,0],[112.166988949,-8.09148296,0],[112.167010435,-8.091479276,0],[112.167103795,-8.091733997,0],[112.16710108,-8.091746967,0]]]}",-8.091641255,112.1670275,,,,26,,,,,,#N/A,,,,1734G,"{""type"":""Polygon"",""coordinates"":[[[112.177434888,-8.093233897],[112.17762558,-8.092010188],[112.177654706,-8.092014727],[112.177464014,-8.093238436],[112.177434888,-8.093233897]]]}",-8.092624312,112.1775448
22,24,"{""type"":""Polygon"",""coordinates"":[[[112.169700448,-8.097852152,0],[112.169676699,-8.097856209,0],[112.169105281,-8.097738319,0],[112.169061581,-8.097701547,0],[112.169044042,-8.097663341,0],[112.169052197,-8.097339464,0],[112.169619784,-8.097384132,0],[112.169665124,-8.097392279,0],[112.169683291,-8.097421001,0],[112.169714916,-8.097835938,0],[112.169700448,-8.097852152,0]]]}",-8.097582692,112.1693845,,,,31,,,,,,#N/A,,,,1566G,"{""type"":""Polygon"",""coordinates"":[[[112.181836284,-8.088616645],[112.181866037,-8.088618464],[112.181860744,-8.088705017],[112.181832562,-8.088703294],[112.181836284,-8.088616645]]]}",-8.088660464,112.1818489
23,25,"{""type"":""Polygon"",""coordinates"":[[[112.167979348,-8.089296319,0],[112.167820345,-8.089651231,0],[112.16741975,-8.089491985,0],[112.167560027,-8.089126539,0],[112.167979348,-8.089296319,0]]]}",-8.08938997,112.1676952,,,,46,,,,,,#N/A,,,,1297A,"{""type"":""Polygon"",""coordinates"":[[[112.181860744,-8.088705017],[112.181832007,-8.089174938],[112.181744121,-8.089169563],[112.181772858,-8.088699643],[112.181860744,-8.088705017]]]}",-8.08893729,112.1818024
24,26,"{""type"":""Polygon"",""coordinates"":[[[112.146943415,-8.089289927,0],[112.146909159,-8.089414495,0],[112.146661581,-8.089342869,0],[112.146698952,-8.089226086,0],[112.146943415,-8.089289927,0]]]}",-8.089318849,112.1468043,,,,5,,,,,,#N/A,,,,1663E,"{""type"":""Polygon"",""coordinates"":[[[112.181772858,-8.088699643],[112.181744121,-8.089169563],[112.181694357,-8.08916652],[112.181712547,-8.08886907],[112.181734815,-8.088870432],[112.181747778,-8.088698109],[112.181751405,-8.088649891],[112.18177581,-8.088651383],[112.181772858,-8.088699643]]]}",-8.088947844,112.181736
25,28,"{""type"":""Polygon"",""coordinates"":[[[112.165686039,-8.099135892,0],[112.165606401,-8.099611317,0],[112.165000988,-8.099545944,0],[112.165103572,-8.099171907,0],[112.165214111,-8.099107581,0],[112.165686039,-8.099135892,0]]]}",-8.099354913,112.1653588,,,,4,,,,,,#N/A,,,,1297B,"{""type"":""Polygon"",""coordinates"":[[[112.182205778,-8.089250601],[112.182203163,-8.089403356],[112.182115249,-8.089401851],[112.182117864,-8.089249096],[112.182205778,-8.089250601]]]}",-8.089326226,112.1821605
26,32,"{""type"":""Polygon"",""coordinates"":[[[112.183046834,-8.086281238,0],[112.183009382,-8.086572369,0],[112.182768872,-8.086539832,0],[112.182811008,-8.086244495,0],[112.183046834,-8.086281238,0]]]}",-8.08640985,112.1829086,,,,40,,,,,,#N/A,,,,1297C,"{""type"":""Polygon"",""coordinates"":[[[112.182116763,-8.089313788],[112.182115249,-8.089401851],[112.181920176,-8.089398869],[112.18192169,-8.089310448],[112.182116763,-8.089313788]]]}",-8.089356238,112.1820184
27,33,"{""type"":""Polygon"",""coordinates"":[[[112.163588542,-8.12708398,0],[112.163572596,-8.12727488,0],[112.163420106,-8.127260433,0],[112.163442106,-8.127074988,0],[112.163588542,-8.12708398,0]]]}",-8.127174283,112.1635061,,,,47,,,,,,#N/A,,,,1297D,"{""type"":""Polygon"",""coordinates"":[[[112.181920176,-8.089398869],[112.181831372,-8.089397348],[112.181833987,-8.089244593],[112.181922791,-8.089246113],[112.181920176,-8.089398869]]]}",-8.089321731,112.1818771
28,34,"{""type"":""Polygon"",""coordinates"":[[[112.151186687,-8.124439558,0],[112.151109327,-8.12464771,0],[112.150886819,-8.124578326,0],[112.150953412,-8.124372965,0],[112.151186687,-8.124439558,0]]]}",-8.124509118,112.1510348,,,,8,,,,,,#N/A,,,,1726K,"{""type"":""Polygon"",""coordinates"":[[[112.181833987,-8.089244593],[112.181834231,-8.089230341],[112.182206022,-8.089236706],[112.182205778,-8.089250958],[112.181833987,-8.089244593]]]}",-8.08924065,112.18202
29,35,"{""type"":""Polygon"",""coordinates"":[[[112.182936433,-8.096155219,0],[112.182926326,-8.09629166,0],[112.182624134,-8.096267404,0],[112.18264738,-8.096127931,0],[112.182936433,-8.096155219,0]]]}",-8.096210981,112.1827828,,,,13,,,,,,#N/A,,,,2725H,"{""type"":""Polygon"",""coordinates"":[[[112.181836284,-8.088616645],[112.181832562,-8.088703294],[112.181772858,-8.088699405],[112.181774345,-8.088675332],[112.181749297,-8.088673681],[112.181751405,-8.088649891],[112.18169033,-8.088645885],[112.181692688,-8.088607328],[112.181836284,-8.088616645]]]}",-8.088647946,112.1817762
30,36,"{""type"":""Polygon"",""coordinates"":[[[112.170332481,-8.10923381,0],[112.170163508,-8.109756519,0],[112.169722917,-8.109614392,0],[112.169904523,-8.109083787,0],[112.170332481,-8.10923381,0]]]}",-8.109422784,112.1700298,,,,41,,,,,,#N/A,,,,1566I,"{""type"":""Polygon"",""coordinates"":[[[112.181751405,-8.088649891],[112.181734815,-8.088870432],[112.181712121,-8.088869128],[112.181612885,-8.08886126],[112.181629475,-8.088640719],[112.181751405,-8.088649891]]]}",-8.088755677,112.1816821
31,37,"{""type"":""Polygon"",""coordinates"":[[[112.143195182,-8.103710947,0],[112.143126643,-8.103932113,0],[112.142899991,-8.103878358,0],[112.142971694,-8.103639129,0],[112.143195182,-8.103710947,0]]]}",-8.103789556,112.143047,,,,41,,,,,,#N/A,,,,1726F,"{""type"":""Polygon"",""coordinates"":[[[112.181866037,-8.088618464],[112.181836284,-8.088616645],[112.181692688,-8.088607328],[112.181630832,-8.088603354],[112.181631642,-8.088590754],[112.181866847,-8.088605865],[112.181866037,-8.088618464]]]}",-8.088604635,112.181749
